speaker,realization_of_recipient,semantic_class,length_of_recipient,access_of_rec,length_of_theme,verb
S1102,NP,a,3,accessible,3,give
S1102,NP,a,1,given,6,give
S1025,PP,a,3,accessible,4,give
S1025,NP,a,1,given,2,give
S1025,NP,a,1,given,4,give
S1112,NP,a,1,given,2,give
S1112,PP,t,2,new,1,take
S1084,NP,c,2,accessible,1,teach
S1105,NP,t,1,given,9,bring
S1060,PP,t,3,accessible,1,take
S1102,NP,t,1,given,3,pay
S1102,NP,t,1,given,3,pay
S1060,NP,f,1,given,2,offer
S1060,NP,a,1,given,4,give
S1060,NP,t,1,given,2,send
S1060,NP,a,1,given,6,give
S1102,NP,a,1,given,2,give
S1084,NP,a,1,given,2,give
S1084,PP,a,3,accessible,2,bring
S1084,NP,a,1,given,6,give
S1025,PP,t,3,accessible,1,write
S1025,NP,a,1,given,3,give
S1105,NP,c,1,given,5,tell
S1116,PP,c,3,new,1,teach
S1116,NP,a,1,given,2,give
S1112,NP,c,1,given,3,teach
S1116,NP,a,1,given,5,give
S1116,NP,t,1,given,3,give
S1116,NP,t,1,given,1,write
S1084,NP,a,1,given,3,give
S1098,NP,c,1,given,4,tell
S1105,PP,t,1,given,1,give
S1168,NP,a,1,given,5,give
S1105,NP,a,2,accessible,1,owe
S1098,NP,a,1,given,2,give
S1105,NP,t,1,given,3,send
S1303,NP,a,1,given,7,allow
S1303,NP,a,1,given,9,give
S1303,NP,c,1,given,4,give
S1388,PP,a,1,accessible,1,pay
S1098,NP,t,1,given,8,bring
S1098,NP,t,1,given,3,give
S1362,NP,a,1,given,7,give
S1362,PP,c,1,accessible,3,give
S1098,NP,a,1,given,6,give
S1411,NP,c,1,given,8,tell
S1418,NP,c,1,given,2,teach
S1112,NP,p,1,given,2,cost
S1388,NP,a,1,given,4,give
S1418,PP,a,3,given,1,pay
S1362,NP,a,1,given,1,give
S1362,NP,a,1,given,1,give
S1388,PP,t,1,given,1,give
S1388,PP,t,1,given,1,give
S1362,NP,t,1,given,1,give
S1112,NP,a,1,given,12,give
S1411,NP,a,1,given,13,give
S1411,NP,t,1,given,2,pay
S1418,NP,a,1,given,4,give
S1418,PP,t,1,accessible,1,take
S1411,NP,c,1,given,11,tell
S1423,NP,c,1,given,7,show
S1411,NP,a,1,new,1,give
S1423,PP,a,1,given,1,give
S1367,NP,a,1,given,3,give
S1367,NP,t,1,given,2,give
S1367,PP,t,1,new,1,bring
S1367,NP,a,1,given,3,give
S1440,NP,t,1,given,3,bring
S1303,NP,t,1,given,3,bring
S1168,NP,p,1,given,3,cost
S1168,NP,p,1,given,1,charge
S1168,NP,t,1,given,3,give
S1440,NP,t,1,given,4,give
S1455,NP,c,1,given,2,give
S1458,NP,a,1,given,29,give
S1440,NP,t,1,given,5,give
S1440,NP,t,1,given,2,give
S1440,NP,t,1,given,2,give
S1458,NP,a,1,accessible,7,promise
S1455,NP,a,1,given,7,give
S1455,NP,a,1,given,8,give
S1303,NP,a,1,given,4,give
S1418,NP,p,1,given,9,cost
S1458,PP,a,1,given,4,pay
S1458,NP,a,2,given,2,give
S1455,PP,t,4,accessible,1,take
S1455,PP,t,4,accessible,8,take
S1458,NP,t,1,given,4,give
S1388,NP,t,1,given,6,give
S1367,PP,c,2,given,2,read
S1423,NP,c,1,given,1,teach
S1461,NP,c,1,given,6,tell
S1168,NP,a,1,given,8,give
S1461,NP,t,1,given,5,give
S1461,NP,a,1,given,5,give
S1461,NP,t,1,given,3,give
S1461,NP,t,1,given,3,give
S1493,NP,a,1,given,2,do
S1493,PP,t,2,accessible,1,take
S1504,PP,t,1,given,1,write
S1493,PP,t,1,given,1,send
S1493,NP,a,1,given,10,allow
S1307,NP,c,1,given,9,give
S1504,NP,c,1,given,9,tell
S1493,NP,c,1,given,2,tell
S1504,NP,c,1,given,2,give
S1307,NP,a,1,given,2,give
S1307,NP,c,1,given,5,teach
S1307,NP,a,1,given,2,give
S1307,NP,a,1,given,4,give
S1504,NP,t,3,accessible,2,give
S1504,NP,t,3,given,2,give
S1199,NP,t,1,given,2,give
S1199,NP,t,2,given,2,give
S1199,NP,t,1,given,3,give
S1669,NP,t,1,given,4,give
S1199,PP,c,2,given,2,read
S1199,PP,a,1,given,2,pay
S1669,PP,t,6,accessible,2,send
S1669,NP,t,1,given,2,send
S1669,NP,t,1,given,1,send
S1669,NP,a,1,given,7,give
S1423,NP,c,1,given,8,give
S1423,NP,a,1,given,9,give
